Year,Estimate,Est.Error,Q2.5,Q97.5,Term
2001,0.923189409446386,1.27565656801342,0.568178324221228,1.44531936275239,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2002,0.900643883902319,1.23413640666046,0.591028742310288,1.33227728377095,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2003,0.90812695962715,1.18061750615849,0.653487232730489,1.23279795720641,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2004,0.799595766341854,1.20183940411958,0.535037387551198,1.12349702263836,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2005,0.898646282865508,1.20046720138723,0.608701105071896,1.24493792551956,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2006,1.04032857006697,1.1696173152523,0.747557593392605,1.41976397222973,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2007,1.04372138076759,1.18398844315907,0.757140011063033,1.47481310653153,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2008,1.08598920019118,1.15222109744723,0.825803452666161,1.43624382024965,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2009,0.896098724391205,1.17179252907844,0.636878813129454,1.22259339429517,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2010,1.09788963972553,1.16549676551717,0.821501911262327,1.50725317483667,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2011,0.803946892284607,1.19155483543962,0.566002672649605,1.11726499393494,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2012,1.03701927803526,1.17683492208698,0.772831007920004,1.44870950578334,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2013,1.01013870872036,1.14541800769302,0.768108061680285,1.34089928724194,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2014,1.20980681671273,1.15453847184474,0.920858643062194,1.60076720496228,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2015,0.949275116099415,1.12264052178736,0.750819312625644,1.20092436619116,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2016,1.14315451060304,1.14086009623267,0.865344016251953,1.45180088709892,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2017,0.923664768091497,1.14109854359595,0.702331211031319,1.19404380933221,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2018,0.816825069424489,1.14681703207713,0.616134929886453,1.04593190828177,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2019,0.984953850333106,1.12923944618968,0.767689963924385,1.25124735567358,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2020,0.808883941064213,1.1272582628261,0.642517738051116,1.02806027111182,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2021,1.23948642205558,1.128108089806,0.97634133694997,1.58271533636684,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2022,1.13961290607323,1.13802296259519,0.892259903235373,1.4879546165831,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
2023,1.64267575678107,1.18682822884942,1.1622919979923,2.34224474345506,CPUE.yy.hooks.HBF.ves.mm.sst.nina.latlong
